region,rep,segment,units,amount
East,rep_26,Enterprise,11,2585.55
North,rep_38,Mid-Market,3,2614.14
South,rep_06,Enterprise,35,17423.35
South,rep_36,Enterprise,35,7872.2
North,rep_38,Enterprise,11,6804.6
West,rep_15,Enterprise,10,6030.7
South,rep_27,Mid-Market,5,2954.6
East,rep_12,SMB,1,622.02
South,rep_07,Mid-Market,11,7933.2
North,rep_14,SMB,4,2788.4
West,rep_30,Mid-Market,12,10581.84
East,rep_16,Mid-Market,15,4749.3
South,rep_37,Enterprise,27,15637.05
East,rep_29,SMB,3,1928.43
North,rep_33,Enterprise,34,10382.58
East,rep_32,Enterprise,34,7133.2
North,rep_37,SMB,3,1315.47
East,rep_32,SMB,5,3928.2
North,rep_18,Enterprise,38,26970.5
North,rep_20,Enterprise,36,14266.44
West,rep_23,SMB,1,894.89
East,rep_40,Enterprise,15,8328.15
South,rep_09,Mid-Market,14,5154.66
West,rep_06,Mid-Market,5,2606.9
East,rep_28,Enterprise,25,17921.5
East,rep_25,SMB,2,589.4
South,rep_15,Enterprise,22,4161.74
South,rep_19,Mid-Market,3,872.13
East,rep_37,SMB,3,2713.05
North,rep_36,Mid-Market,9,4342.77
West,rep_31,Enterprise,33,7501.23
North,rep_29,Enterprise,18,4743.9
North,rep_01,Enterprise,17,9993.11
East,rep_02,SMB,1,844.49
West,rep_17,Enterprise,30,19131.9
West,rep_08,Enterprise,39,36455.64
West,rep_31,Mid-Market,7,1716.89
North,rep_22,SMB,6,2287.32
South,rep_02,SMB,2,1805.5
East,rep_35,Enterprise,9,6805.71
East,rep_06,SMB,6,4935.24
East,rep_23,Enterprise,22,12864.94
East,rep_15,SMB,5,3983.75
South,rep_26,Enterprise,22,7302.68
West,rep_02,Mid-Market,3,2341.47
West,rep_13,Mid-Market,14,8958.74
East,rep_23,Mid-Market,8,1929.68
North,rep_31,Enterprise,20,8733.6
West,rep_40,SMB,1,544.4
East,rep_06,SMB,6,1626.78
West,rep_13,SMB,4,3422.6
West,rep_22,SMB,1,788.63
West,rep_26,Mid-Market,14,12593.98
South,rep_09,Enterprise,9,2653.83
West,rep_10,SMB,5,4040.75
West,rep_23,SMB,2,1193.96
South,rep_01,Enterprise,14,8122.8
South,rep_13,Mid-Market,6,1207.68
South,rep_33,Mid-Market,6,4562.4
East,rep_35,Mid-Market,9,7325.91
North,rep_23,SMB,4,2733.92
West,rep_09,SMB,5,1477.0
North,rep_12,Mid-Market,12,2195.88
South,rep_10,Enterprise,38,24719.76
North,rep_04,SMB,3,2095.71
West,rep_36,Enterprise,11,4057.46
East,rep_07,Enterprise,40,20946.0
North,rep_29,Enterprise,28,18074.56
South,rep_18,SMB,4,2264.8
West,rep_16,SMB,6,3465.84
East,rep_13,SMB,4,1136.88
North,rep_29,Mid-Market,8,1881.12
South,rep_05,Mid-Market,6,4132.8
North,rep_24,Enterprise,17,6330.12
South,rep_15,Mid-Market,14,12654.6
West,rep_11,Mid-Market,13,10564.58
South,rep_28,SMB,5,2434.5
West,rep_23,Enterprise,28,7001.96
East,rep_22,Enterprise,37,19045.75
North,rep_22,Mid-Market,11,7195.98
North,rep_15,Enterprise,14,3414.46
East,rep_12,Enterprise,25,18859.75
West,rep_17,SMB,4,1174.08
West,rep_21,SMB,1,392.09
South,rep_05,Mid-Market,7,6252.05
North,rep_06,Mid-Market,12,9968.76
North,rep_08,Mid-Market,10,1887.8
West,rep_40,Mid-Market,5,1064.2
South,rep_11,Enterprise,24,5238.96
South,rep_20,Mid-Market,11,8329.42
East,rep_33,Mid-Market,13,4097.6
East,rep_17,Enterprise,10,1916.6
South,rep_31,SMB,2,1780.66
North,rep_28,SMB,6,3337.2
West,rep_20,SMB,6,2061.24
South,rep_13,Mid-Market,14,10274.88
South,rep_23,Mid-Market,3,2448.33
North,rep_17,Enterprise,35,10642.45
North,rep_25,SMB,5,3448.05
East,rep_16,SMB,6,2416.32
West,rep_11,Enterprise,25,12970.75
East,rep_22,Mid-Market,11,4684.79
North,rep_14,Mid-Market,8,2552.4
East,rep_06,Mid-Market,10,3919.9
South,rep_33,Enterprise,8,1992.4
North,rep_26,Enterprise,10,4794.2
East,rep_15,Mid-Market,4,2500.16
South,rep_39,SMB,4,3043.52
West,rep_19,Enterprise,17,3625.76
West,rep_33,SMB,2,1743.02
North,rep_38,SMB,6,4194.0
South,rep_02,Enterprise,10,2811.5
East,rep_25,Enterprise,36,21761.28
North,rep_35,SMB,6,2195.22
East,rep_30,Enterprise,12,8984.16
North,rep_34,SMB,1,746.75
West,rep_05,Mid-Market,7,2509.08
South,rep_30,Enterprise,39,32081.4
